"Tweet Id","Full Text","Note Tweet Text","Tweet Url","Media URLs","Media Types","Media Count","Created At","Reply Count","Retweet Count","Favorite Count","Quote Count","Bookmark Count","View Count","Favorited","Retweeted","Bookmarked","Is Quote Status","Possibly Sensitive","Language","Expanded URLs","Hashtags","User Mentions","Original Tweet Id","Original Tweet Full Text","Original Note Tweet Text","Original Tweet User Id","Original Tweet User Name","Original Tweet User Screen Name","Original Tweet User Description","Original Tweet User Followers Count","Original Tweet User Friends Count","Original Tweet User Favourites Count","Original Tweet User Statuses Count","Original Tweet User Listed Count","Original Tweet User Avatar Url","Original Tweet User Profile Banner Url","Original Tweet User Location","Original Tweet User Is Blue Verified","Original Tweet User Is Verified","Original Tweet User Is Protected","Original Tweet User Professional Type","Original Tweet User Created At","Scraped At"
"2034211153451069629","The heartbeat of a new era.​

The new BMW i3.​ 

#BMWi3 #BMW #BMWNewEra #NeueKlasse #BMWGroup​  

The maximum range of the BMW i3 50 xDrive Limousine (2026) will be up to 900 kilometers (WLTP). Since no binding WLTP values are currently available, these are preliminary values. https://t.co/qOGqUzOJRp","The heartbeat of a new era.​

The new BMW i3.​ 

#BMWi3 #BMW #BMWNewEra #NeueKlasse #BMWGroup​  

The maximum range of the BMW i3 50 xDrive Limousine (2026) will be up to 900 kilometers (WLTP). Since no binding WLTP values are currently available, these are preliminary values. Furthermore, the real life values depend on various factors, e.g. cargo weight, driving style, route, weather conditions, auxiliary electrical consumption (including air conditioning), tires, battery state of health.","https://x.com/BMW/status/2034211153451069629","https://pbs.twimg.com/media/HDr30dPWEAA18N3.jpg
https://pbs.twimg.com/media/HDr39GDXYAAiu5A.jpg
https://pbs.twimg.com/media/HDr33UTagAAk5Um.jpg
https://pbs.twimg.com/media/HDr34Y1WsAYTkle.jpg","photo
photo
photo
photo","4","Wed Mar 18 10:11:47 +0000 2026","608","457","3902","275","282","459120","No","No","No","No","No","en","","BMWi3, BMW, BMWNewEra, NeueKlasse, BMWGroup","","2034211153451069629","The heartbeat of a new era.​

The new BMW i3.​ 

#BMWi3 #BMW #BMWNewEra #NeueKlasse #BMWGroup​  

The maximum range of the BMW i3 50 xDrive Limousine (2026) will be up to 900 kilometers (WLTP). Since no binding WLTP values are currently available, these are preliminary values. https://t.co/qOGqUzOJRp","The heartbeat of a new era.​

The new BMW i3.​ 

#BMWi3 #BMW #BMWNewEra #NeueKlasse #BMWGroup​  

The maximum range of the BMW i3 50 xDrive Limousine (2026) will be up to 900 kilometers (WLTP). Since no binding WLTP values are currently available, these are preliminary values. Furthermore, the real life values depend on various factors, e.g. cargo weight, driving style, route, weather conditions, auxiliary electrical consumption (including air conditioning), tires, battery state of health.","1545994664","BMW","BMW","The official #BMW account. Come for the cars, stay for the Joy. Imprint: https://t.co/CofRcurI3x","2674043","73","15672","48322","4956","https://pbs.twimg.com/profile_images/1807534976117747713/Uk3W5rE1_normal.jpg","https://pbs.twimg.com/profile_banners/1545994664/1757063924","Munich","Yes","No","No","Business","Tue Jun 25 15:20:28 +0000 2013","2026-04-05T17:34:54.901Z"
"2033803632055857582","A new era continues 😍   

As the second model of the Neue Klasse, the new BMW i3 with its advanced technology and design marks a giant leap forward. 

#NeueKlasse #BMWi3 https://t.co/gAfMXgixhW","","https://x.com/BMW/status/2033803632055857582","https://video.twimg.com/amplify_video/2033803291381960704/vid/avc1/1080x1350/2Fmiu1jzqKS3KwR_.mp4?tag=21","video","1","Tue Mar 17 07:12:26 +0000 2026","224","197","1959","34","122","123711","No","No","No","No","No","en","","NeueKlasse, BMWi3","","2033803632055857582","A new era continues 😍   

As the second model of the Neue Klasse, the new BMW i3 with its advanced technology and design marks a giant leap forward. 

#NeueKlasse #BMWi3 https://t.co/gAfMXgixhW","","1545994664","BMW","BMW","The official #BMW account. Come for the cars, stay for the Joy. Imprint: https://t.co/CofRcurI3x","2674043","73","15672","48322","4956","https://pbs.twimg.com/profile_images/1807534976117747713/Uk3W5rE1_normal.jpg","https://pbs.twimg.com/profile_banners/1545994664/1757063924","Munich","Yes","No","No","Business","Tue Jun 25 15:20:28 +0000 2013","2026-04-05T17:34:54.901Z"
"2029451954238144971","A new era continues: 18.03.2026.  

Are you ready for the new BMW i3? 

#NeueKlasse #BMW #BMWGroup https://t.co/8AsskanW1b","","https://x.com/BMW/status/2029451954238144971","https://video.twimg.com/amplify_video/2029451034653851648/vid/avc1/1080x1350/jXfoVNHfb6hNrEw3.mp4?tag=21","video","1","Thu Mar 05 07:00:25 +0000 2026","197","239","2204","72","186","183646","No","No","No","No","No","en","","NeueKlasse, BMW, BMWGroup","","2029451954238144971","A new era continues: 18.03.2026.  

Are you ready for the new BMW i3? 

#NeueKlasse #BMW #BMWGroup https://t.co/8AsskanW1b","","1545994664","BMW","BMW","The official #BMW account. Come for the cars, stay for the Joy. Imprint: https://t.co/CofRcurI3x","2674043","73","15672","48322","4956","https://pbs.twimg.com/profile_images/1807534976117747713/Uk3W5rE1_normal.jpg","https://pbs.twimg.com/profile_banners/1545994664/1757063924","Munich","Yes","No","No","Business","Tue Jun 25 15:20:28 +0000 2013","2026-04-05T17:34:54.901Z"
"1964675022653387021","Design that speaks before the drive begins.
The new BMW iX3 sets a new tone for the road ahead.

The new BMW iX3.
#BMWiX3 #BMW #BMWNewEra #NeueKlasse

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 kWh/100 km; WLTP CO₂ emissions combined: 0 g/km; CO2-class: A; https://t.co/YjM0vUUBfz","Design that speaks before the drive begins.
The new BMW iX3 sets a new tone for the road ahead.

The new BMW iX3.
#BMWiX3 #BMW #BMWNewEra #NeueKlasse

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 kWh/100 km; WLTP CO₂ emissions combined: 0 g/km; CO2-class: A; WLTP electric range: 679-805km

BMW Individual Steering Wheel in digital white available for order optionally starting from 01/26.

Electric range shown in the vehicle according to WLTP for demonstration and comparison purposes. Real-life values depend on factors such as driving behavior, road conditions, weather, auxiliary electrical consumption (e.g. air conditioning).

Screen contents are subject to change due to ongoing software updates.","https://x.com/BMW/status/1964675022653387021","https://pbs.twimg.com/media/G0On3Y_W8AAyuNC.jpg
https://pbs.twimg.com/media/G0On3ZUWMAA_Wst.jpg
https://pbs.twimg.com/media/G0On3ZCXYAA9XnC.jpg
https://pbs.twimg.com/media/G0On3Y_WQAAstk5.jpg","photo
photo
photo
photo","4","Sun Sep 07 13:00:01 +0000 2025","517","395","2314","66","105","186953","No","No","No","No","No","en","","BMWiX3, BMW, BMWNewEra, NeueKlasse","","1964675022653387021","Design that speaks before the drive begins.
The new BMW iX3 sets a new tone for the road ahead.

The new BMW iX3.
#BMWiX3 #BMW #BMWNewEra #NeueKlasse

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 kWh/100 km; WLTP CO₂ emissions combined: 0 g/km; CO2-class: A; https://t.co/YjM0vUUBfz","Design that speaks before the drive begins.
The new BMW iX3 sets a new tone for the road ahead.

The new BMW iX3.
#BMWiX3 #BMW #BMWNewEra #NeueKlasse

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 kWh/100 km; WLTP CO₂ emissions combined: 0 g/km; CO2-class: A; WLTP electric range: 679-805km

BMW Individual Steering Wheel in digital white available for order optionally starting from 01/26.

Electric range shown in the vehicle according to WLTP for demonstration and comparison purposes. Real-life values depend on factors such as driving behavior, road conditions, weather, auxiliary electrical consumption (e.g. air conditioning).

Screen contents are subject to change due to ongoing software updates.","1545994664","BMW","BMW","The official #BMW account. Come for the cars, stay for the Joy. Imprint: https://t.co/CofRcurI3x","2674043","73","15672","48322","4956","https://pbs.twimg.com/profile_images/1807534976117747713/Uk3W5rE1_normal.jpg","https://pbs.twimg.com/profile_banners/1545994664/1757063924","Munich","Yes","No","No","Business","Tue Jun 25 15:20:28 +0000 2013","2026-04-05T17:34:54.901Z"
"1964254726565904774","Meet the new BMW iX3.
More dynamic. More intelligent. More BMW than ever.
The first of a new era.

#BMWiX3 #BMW #BMWNewEra #NeueKlasse

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 kWh/100 km; WLTP CO₂ emissions combined: 0 g/km; CO₂ class: A; WLTP electric https://t.co/EXUXYeNUNz","Meet the new BMW iX3.
More dynamic. More intelligent. More BMW than ever.
The first of a new era.

#BMWiX3 #BMW #BMWNewEra #NeueKlasse

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 kWh/100 km; WLTP CO₂ emissions combined: 0 g/km; CO₂ class: A; WLTP electric range: 679-805km

BMW Individual Steering Wheel in digital white available for order optionally starting from 01/26.

Screen contents are subject to change due to ongoing software updates.","https://x.com/BMW/status/1964254726565904774","https://video.twimg.com/amplify_video/1964253582141661184/vid/avc1/1080x1920/Pqunv8W9whlnsPBe.mp4?tag=21","video","1","Sat Sep 06 09:09:55 +0000 2025","181","267","1472","39","88","126864","No","No","No","No","No","en","","BMWiX3, BMW, BMWNewEra, NeueKlasse","","1964254726565904774","Meet the new BMW iX3.
More dynamic. More intelligent. More BMW than ever.
The first of a new era.

#BMWiX3 #BMW #BMWNewEra #NeueKlasse

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 kWh/100 km; WLTP CO₂ emissions combined: 0 g/km; CO₂ class: A; WLTP electric https://t.co/EXUXYeNUNz","Meet the new BMW iX3.
More dynamic. More intelligent. More BMW than ever.
The first of a new era.

#BMWiX3 #BMW #BMWNewEra #NeueKlasse

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 kWh/100 km; WLTP CO₂ emissions combined: 0 g/km; CO₂ class: A; WLTP electric range: 679-805km

BMW Individual Steering Wheel in digital white available for order optionally starting from 01/26.

Screen contents are subject to change due to ongoing software updates.","1545994664","BMW","BMW","The official #BMW account. Come for the cars, stay for the Joy. Imprint: https://t.co/CofRcurI3x","2674043","73","15672","48322","4956","https://pbs.twimg.com/profile_images/1807534976117747713/Uk3W5rE1_normal.jpg","https://pbs.twimg.com/profile_banners/1545994664/1757063924","Munich","Yes","No","No","Business","Tue Jun 25 15:20:28 +0000 2013","2026-04-05T17:34:54.901Z"
"1963893784715911448","The new BMW iX3 is the start of a new era. A real road stunner with a new kind of driving experience, built around you.

The new BMW iX3.
#BMWiX3 #BMW #BMWNewEra #NeueKlasse

To learn more: https://t.co/vZqg9IZofB

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 https://t.co/PY8JWX51S9","The new BMW iX3 is the start of a new era. A real road stunner with a new kind of driving experience, built around you.

The new BMW iX3.
#BMWiX3 #BMW #BMWNewEra #NeueKlasse

To learn more: https://t.co/OdMiJ85oN7

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 kWh/100 km; WLTP CO₂ emissions combined: 0 g/km; CO2-class: A; WLTP electric range: 679-805km

BMW Individual Steering Wheel in digital white available for order optionally starting from 01/26.

Screen contents are subject to change due to ongoing software updates.","https://x.com/BMW/status/1963893784715911448","https://pbs.twimg.com/media/G0ESUF2XwAAcocz.jpg
https://pbs.twimg.com/media/G0ESUF6W0AAT63z.jpg
https://pbs.twimg.com/media/G0ESUF3WgAAOm1R.jpg
https://pbs.twimg.com/media/G0ESUF3XsAA7rn6.jpg","photo
photo
photo
photo","4","Fri Sep 05 09:15:40 +0000 2025","513","452","3218","209","206","650517","No","No","No","No","No","en","https://b.mw/uALmn","BMWiX3, BMW, BMWNewEra, NeueKlasse","","1963893784715911448","The new BMW iX3 is the start of a new era. A real road stunner with a new kind of driving experience, built around you.

The new BMW iX3.
#BMWiX3 #BMW #BMWNewEra #NeueKlasse

To learn more: https://t.co/vZqg9IZofB

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 https://t.co/PY8JWX51S9","The new BMW iX3 is the start of a new era. A real road stunner with a new kind of driving experience, built around you.

The new BMW iX3.
#BMWiX3 #BMW #BMWNewEra #NeueKlasse

To learn more: https://t.co/OdMiJ85oN7

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 kWh/100 km; WLTP CO₂ emissions combined: 0 g/km; CO2-class: A; WLTP electric range: 679-805km

BMW Individual Steering Wheel in digital white available for order optionally starting from 01/26.

Screen contents are subject to change due to ongoing software updates.","1545994664","BMW","BMW","The official #BMW account. Come for the cars, stay for the Joy. Imprint: https://t.co/CofRcurI3x","2674043","73","15672","48322","4956","https://pbs.twimg.com/profile_images/1807534976117747713/Uk3W5rE1_normal.jpg","https://pbs.twimg.com/profile_banners/1545994664/1757063924","Munich","Yes","No","No","Business","Tue Jun 25 15:20:28 +0000 2013","2026-04-05T17:34:54.901Z"
"1962908404235522337","Something new is on the horizon.
#BMW #BMWNewEra #NeueKlasse

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 kWh/100 km; WLTP CO₂ emissions combined: 0 g/km; CO2-class: A https://t.co/76RfJEkp8r","","https://x.com/BMW/status/1962908404235522337","https://pbs.twimg.com/media/Gz2mrh6WEAAHoCU.jpg","photo","1","Tue Sep 02 16:00:07 +0000 2025","106","248","1681","28","39","100424","No","No","No","No","No","en","","BMW, BMWNewEra, NeueKlasse","","1962908404235522337","Something new is on the horizon.
#BMW #BMWNewEra #NeueKlasse

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 kWh/100 km; WLTP CO₂ emissions combined: 0 g/km; CO2-class: A https://t.co/76RfJEkp8r","","1545994664","BMW","BMW","The official #BMW account. Come for the cars, stay for the Joy. Imprint: https://t.co/CofRcurI3x","2674043","73","15672","48322","4956","https://pbs.twimg.com/profile_images/1807534976117747713/Uk3W5rE1_normal.jpg","https://pbs.twimg.com/profile_banners/1545994664/1757063924","Munich","Yes","No","No","Business","Tue Jun 25 15:20:28 +0000 2013","2026-04-05T17:34:54.901Z"
"1962546180744704103","A new era is coming…
#BMW #BMWNewEra #NeueKlasse

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 kWh/100 km; WLTP CO₂ emissions combined: 0 g/km; CO2-class: A https://t.co/tvFzayzYZC","","https://x.com/BMW/status/1962546180744704103","https://video.twimg.com/amplify_video/1962542604936970240/vid/avc1/1080x1350/9L3S9gpfqG8ttIOV.mp4?tag=21","video","1","Mon Sep 01 16:00:46 +0000 2025","82","209","1426","24","68","85092","No","No","No","No","No","ro","","BMW, BMWNewEra, NeueKlasse","","1962546180744704103","A new era is coming…
#BMW #BMWNewEra #NeueKlasse

BMW iX3 50 xDrive: WLTP energy consumption combined: 17,9 - 15,1 kWh/100 km; WLTP CO₂ emissions combined: 0 g/km; CO2-class: A https://t.co/tvFzayzYZC","","1545994664","BMW","BMW","The official #BMW account. Come for the cars, stay for the Joy. Imprint: https://t.co/CofRcurI3x","2674043","73","15672","48322","4956","https://pbs.twimg.com/profile_images/1807534976117747713/Uk3W5rE1_normal.jpg","https://pbs.twimg.com/profile_banners/1545994664/1757063924","Munich","Yes","No","No","Business","Tue Jun 25 15:20:28 +0000 2013","2026-04-05T17:34:54.901Z"
"1955903439290163680","Where senses guide every turn, and purpose sets the pace.
 
The BMW M850i xDrive Gran Coupe.
#THEM8 #BMW
 
Mandatory information according to German law ’Pkw-EnVKV’ based on WLTP: energy consumption combined: 11,0 l/100 km; CO₂ emissions combined: 250 g/km; CO2-class(es): G. https://t.co/mfCjFnbFgW","","https://x.com/BMW/status/1955903439290163680","https://pbs.twimg.com/media/GyTDz4sW4AQxQTQ.jpg","photo","1","Thu Aug 14 08:04:53 +0000 2025","113","241","1632","18","56","74052","No","No","No","No","No","en","","THEM8, BMW","","1955903439290163680","Where senses guide every turn, and purpose sets the pace.
 
The BMW M850i xDrive Gran Coupe.
#THEM8 #BMW
 
Mandatory information according to German law ’Pkw-EnVKV’ based on WLTP: energy consumption combined: 11,0 l/100 km; CO₂ emissions combined: 250 g/km; CO2-class(es): G. https://t.co/mfCjFnbFgW","","1545994664","BMW","BMW","The official #BMW account. Come for the cars, stay for the Joy. Imprint: https://t.co/CofRcurI3x","2674043","73","15672","48322","4956","https://pbs.twimg.com/profile_images/1807534976117747713/Uk3W5rE1_normal.jpg","https://pbs.twimg.com/profile_banners/1545994664/1757063924","Munich","Yes","No","No","Business","Tue Jun 25 15:20:28 +0000 2013","2026-04-05T17:34:54.901Z"
"1955178839170031713","Choosing movement, finding freedom in space.
 
The BMW X7 xDrive40i.
#THEX7 #BMW
 
Mandatory information according to German law ’Pkw-EnVKV’ based on WLTP: energy consumption combined: 10,6 l/100 km; CO₂ emissions combined: 239 g/km; CO2-class(es): G. https://t.co/GgDDFbZsI5","","https://x.com/BMW/status/1955178839170031713","https://pbs.twimg.com/media/GyIwyqdXwAAkLdW.jpg","photo","1","Tue Aug 12 08:05:35 +0000 2025","71","145","905","12","25","54996","No","No","No","No","No","en","","THEX7, BMW","","1955178839170031713","Choosing movement, finding freedom in space.
 
The BMW X7 xDrive40i.
#THEX7 #BMW
 
Mandatory information according to German law ’Pkw-EnVKV’ based on WLTP: energy consumption combined: 10,6 l/100 km; CO₂ emissions combined: 239 g/km; CO2-class(es): G. https://t.co/GgDDFbZsI5","","1545994664","BMW","BMW","The official #BMW account. Come for the cars, stay for the Joy. Imprint: https://t.co/CofRcurI3x","2674043","73","15672","48322","4956","https://pbs.twimg.com/profile_images/1807534976117747713/Uk3W5rE1_normal.jpg","https://pbs.twimg.com/profile_banners/1545994664/1757063924","Munich","Yes","No","No","Business","Tue Jun 25 15:20:28 +0000 2013","2026-04-05T17:34:54.901Z"
